tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
forester-heap/dll-01_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.694884992	7.591713724003057	184324096					false(unreach-call)	4.116128226	4.20812173000013	100294656
forester-heap/dll-circular_true-unreach-call_true-valid-memsafety.i	unknown	6.513884427	7.425262756005395	186085376					ERROR (invalid witness file)	2.502026234	2.5218370349903125	72740864
forester-heap/dll-optional_true-unreach-call_true-valid-memsafety.i	unknown	6.252361768	7.0045793340104865	183410688					ERROR (invalid witness file)	2.503750515	2.5231921749946196	71999488
forester-heap/dll-queue_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.843492818	7.7720288220007205	203255808					false(unreach-call)	4.214803804	4.303682954996475	102293504
forester-heap/dll-rb-cnstr_1_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.993108083	8.567308751997189	185024512					false(unreach-call)	4.108884434	4.1965905130055035	101679104
forester-heap/dll-rb-sentinel_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.944624427	7.922883455001283	203935744					false(unreach-call)	4.167322224	4.257146459000069	105246720
forester-heap/dll-reverse_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.841258729	7.741410590999294	193269760					false(unreach-call)	4.133637907	4.228319065994583	105664512
forester-heap/dll-simple-white-blue_true-unreach-call_false-valid-memtrack.i	unknown	6.966403288	7.920802052001818	186396672					ERROR (invalid witness file)	2.562462378	2.581575823001913	72970240
forester-heap/dll-sorted_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	7.297283221	8.294919612002559	201109504					false(unreach-call)	4.294916553	4.390495457002544	111685632
forester-heap/dll-token_true-unreach-call_true-valid-memsafety.i	unknown	6.229698874	7.174981650998234	163508224					ERROR (invalid witness file)	2.503684815	2.5312024480081163	71450624
forester-heap/sll-01_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.792652508	7.6656074070051545	185389056					false(unreach-call)	4.121847041	4.21731204399839	100237312
forester-heap/sll-buckets_true-unreach-call_true-valid-memsafety.i	unknown	7.259266929	8.239189506988623	197541888					ERROR (invalid witness file)	2.628743936	2.650075319004827	73568256
forester-heap/sll-circular_true-unreach-call_true-valid-memsafety.i	unknown	6.505221666	7.371502981011872	190492672					ERROR (invalid witness file)	2.532181641	2.549474500003271	72982528
forester-heap/sll-optional_true-unreach-call_true-valid-memsafety.i	unknown	6.631190924	7.391797403994133	182370304					ERROR (invalid witness file)	2.579578757	2.599092745993403	73043968
forester-heap/sll-queue_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.905670251	7.87318090700137	183963648					false(unreach-call)	4.224383996	4.31726820699987	102854656
forester-heap/sll-rb-cnstr_1_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.632852008	7.5391139130078955	187711488					false(unreach-call)	4.147076537	4.230324156000279	103895040
forester-heap/sll-rb-sentinel_true-unreach-call_true-valid-memsafety.i	false(unreach-call)	6.803097336	7.719561758000054	187437056					false(unreach-call)	4.189335829	4.277236519003054	102346752
